timestamp,emoji
2025-04-02 13:27:34,❤️
2025-04-02 13:27:35,🥵
2025-04-02 13:27:36,😮
2025-04-02 13:27:37,🔥
2025-04-02 13:27:39,❤️
2025-04-02 13:27:40,😮
2025-04-02 13:27:41,🥵
