timestamp,emoji
2025-04-02 13:27:27,❤️
2025-04-02 13:27:29,🥵
2025-04-02 13:27:30,🔥
2025-04-02 13:27:31,🔥
2025-04-02 13:27:42,😮
2025-04-02 13:27:43,❤️
2025-04-02 13:27:44,❤️
